7zip 25.01-1
adw-gtk-theme 6.4-1
aide 0.19.2-1
aircrack-ng 1.7-5
amd-ucode 20251125-2
base 3-2
base-devel 1-2
bat 0.26.1-1
bc 1.08.2-1
bitwarden 2025.10.0-1
blueman 2.4.6-1
bluetui 0.8.0-1
bluez-utils 5.85-1
brightnessctl 0.5.1-3
btop 1.4.6-1
btrfs-progs 6.17.1-1
burpsuite 2025.12.2-1
c-client 2007f-21
clamav 1.5.1-1
cliphist 1:0.7.0-1
cmatrix 2.0-4
composer 2.9.3-1
cowsay 3.8.4-1
cronie 1.7.2-2
discord 1:0.0.119-1
dmidecode 3.7-1
dunst 1.13.0-1
efibootmgr 18-3
evince 1:48.1-1
exploitdb 20251226-1
eza 0.23.4-1
fastfetch 2.56.1-2
fd 10.3.0-1
feh 3.11.2-2
fish 4.3.2-1
fnm 1.38.1-1
fzf 0.67.0-2
ghostty 1.2.3-2
gimp 3.0.6-2
girara-git 0.4.5.r48.ge32e36c-1
git 2.52.0-2
git-delta 0.18.2-6
github-cli 2.83.2-1
go 2:1.25.5-1
google-chrome 143.0.7499.192-1
hashcat 1:7.1.2-2
hypridle 0.1.7-6
hyprland 0.53.1-1
hyprlock 0.9.2-8
hyprpicker 0.4.5-8
hyprshot 1.3.0-4
hyprutils-git 0.11.0.r0.gfe68648-1
imagemagick 7.1.2.12-1
inkscape 1.4.3-1
iwd 3.10-1
john 1.9.0.jumbo1-11
keychain 2.9.8-1
kismet 2025_09_R1-1
kitty 0.45.0-3
lastpass-cli 1.6.1-2
lazygit 0.58.0-1
libreoffice-fresh 25.8.4-1
libxcrypt-compat 4.5.2-1
linux 6.18.3.arch1-1
linux-firmware 20251125-2
lolcat 100.0.1-5
lua51 5.1.5-13
luarocks 3.13.0-1
lynis 3.1.6-1
man-db 2.13.1-1
metasploit 6.4.104-1
mtr 0.96-1
nautilus 49.2-1
neomutt 20260501-1
neovim 0.11.5-1
network-manager-applet 1.36.0-1
networkmanager 1.54.3-1
networkmanager-strongswan 1.6.4-1
nmap 7.98-3
nwg-look 1.0.6-1
openresolv 3.17.4-1
otf-aurulent-nerd 3.4.0-1
otf-codenewroman-nerd 3.4.0-1
otf-comicshanns-nerd 3.4.0-1
otf-commit-mono-nerd 3.4.0-1
otf-droid-nerd 3.4.0-1
otf-firamono-nerd 3.4.0-1
otf-geist-mono-nerd 3.4.0-1
otf-hasklig-nerd 3.4.0-1
otf-hermit-nerd 3.4.0-1
otf-monaspace-nerd 3.4.0-1
otf-opendyslexic-nerd 3.4.0-1
otf-overpass-nerd 3.4.0-1
outlook-for-linux-bin 1.3.13-1
pandoc-cli 3.5-5
